min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;null;null;null;null;null;null;null;null;null;null
0;2;4;[2:3:4:5];40;0;1;1;0;5;0;[[2]];[[2]];2;10;0;0;0;0;0;53;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
0;3;4;[2:3:4:5];40;0;1;1;0;5;0;[[3]:[3:root:1]:[3:root:2]];[[3]:[3:root]];3;10;0;0;0;2;0;5;0;0;0;0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
0;4;4;[2:3:4:5];40;0;1;1;0;5;0;[[4]:[4:root:1]];[[4]:[4:root]];4;10;0;1;0;1;0;11;0;0;0;0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
0;5;4;[2:3:4:5];40;0;1;1;0;5;0;[[5]:[5:root:1]:[5:4:1]];[[5]:[5:root]:[5:4]];5;10;0;0;0;2;0;5;0;0;0;0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
1;2;4;[2:3:4:5];17;23;6;1;0;24;0;[];[];2;10;0;1;0;0;0;33;0;0;0;0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
1;3;4;[2:3:4:5];17;23;6;1;0;24;0;[[3:root:2:0:0]:[3:root:3:1]:[3:4:1:1]:[3:root:4:1]:[3:5:1:1]:[3:3:1:1]:[3:5:2:1]];[[3:root:0:0:0]:[3:root:3:1]:[3:4:0:1]:[3:root:4:1]:[3:5:0:1]:[3:3:0:1]:[3:5:1:1]];3;5;5;1;0;8;3;5;0;0;0;0;0.0;45.0;9.0;1.3333333333333333;4.0;2.0;1.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
1;4;4;[2:3:4:5];17;23;6;1;0;24;0;[[4:root:2:1]:[4:root:1:0:0]:[4:root:3:1]:[4:5:1:1]:[4:3:1:1]:[4:4:1:1]:[4:2:1:1]];[[4:root:0:1]:[4:root:0:0:0]:[4:root:9:1]:[4:5:0:1]:[4:3:0:1]:[4:4:0:1]:[4:2:0:1]];4;1;9;1;0;8;1;8;0;0;2;0;3.0;9.0;1.0;7.5;1.0;3.0;3.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
1;5;4;[2:3:4:5];17;23;6;1;0;24;0;[[5:root:1:0:0]:[5:root:2:1]:[5:root:3:1]:[5:5:1:1]:[5:4:1:0:0]:[5:4:2:1]:[5:5:2:1]:[5:2:1:1]];[[5:root:0:0:0]:[5:root:6:1]:[5:5:0:1]:[5:4:0:0:0]:[5:4:3:1]:[5:2:0:1]];5;1;9;3;0;8;2;4;0;0;3;0;1.0;60.0;4.833333333333333;6.0;2.0;1.0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
2;2;4;[2:3:4:5];13;27;9;1;0;47;0;[];[];2;10;0;1;0;0;0;94;0;0;1;0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
2;3;4;[2:3:4:5];13;27;9;1;0;47;0;[[3:5:2:1:1]:[3:5:1:2]:[3:5:2:2]:[3:5:3:2]:[3:5:4:2]:[3:4:2:2]:[3:4:1:1:1]:[3:4:3:2]:[3:3:1:1:1]:[3:3:2:2]:[3:2:1:2]:[3:2:2:2]];[[3:5:1:1:1]:[3:5:0:2]:[3:5:2:2]:[3:5:1:2]:[3:4:3:2]:[3:4:0:1:1]:[3:3:0:1:1]:[3:3:0:2]:[3:2:0:2]];3;1;9;2;0;17;6;4;0;0;2;0;0.0;45.0;9.0;2.333333333333333;4.0;2.0;1.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
2;4;4;[2:3:4:5];13;27;9;1;0;47;0;[[4:2:1:1:1]:[4:2:2:2]:[4:5:1:1:1]:[4:5:2:2]:[4:2:3:2]:[4:root:3:1:1]:[4:root:4:2]:[4:4:1:2]:[4:4:1:1:1]];[[4:2:0:1:1]:[4:2:0:2]:[4:5:0:1:1]:[4:5:0:2]:[4:root:9:1:1]:[4:root:9:2]:[4:4:0:2]:[4:4:0:1:1]];4;1;9;2;0;14;1;4;0;0;2;0;6.0;9.0;1.0;7.5;1.0;3.0;3.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
2;5;4;[2:3:4:5];13;27;9;1;0;47;0;[[5:3:1:2]:[5:4:2:1:1]:[5:4:3:2]:[5:3:2:2]:[5:5:2:1:1]:[5:5:1:2]:[5:3:1:2]:[5:2:1:1:1]:[5:2:2:2]:[5:4:4:2]];[[5:3:0:2]:[5:4:3:1:1]:[5:4:3:2]:[5:5:0:1:1]:[5:5:0:2]:[5:2:0:1:1]:[5:2:0:2]];5;1;9;4;0;16;2;2;0;0;3;0;3.0;69.0;5.833333333333333;6.0;2.0;1.0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
3;2;4;[2:3:4:5];13;27;11;1;0;72;0;[];[];2;10;0;1;0;0;0;155;0;0;1;0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
3;3;4;[2:3:4:5];13;27;11;1;0;72;0;[[3:root:4:1:2]:[3:root:5:3]:[3:5:4:2:2]:[3:5:1:3]:[3:3:3:3]:[3:3:2:2:2]:[3:4:1:3]:[3:4:3:2:2]:[3:3:1:3]];[[3:root:4:1:2]:[3:root:3:3]:[3:5:1:2:2]:[3:5:0:3]:[3:3:0:3]:[3:3:0:2:2]:[3:4:0:3]:[3:4:3:2:2]];3;1;9;3;0;25;8;12;0;0;3;0;0.0;27.0;12.75;1.9166666666666667;4.0;2.0;1.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
3;4;4;[2:3:4:5];13;27;11;1;0;72;0;[[4:5:1:3]:[4:5:2:2:2]:[4:root:4:2:2]:[4:root:5:3]:[4:4:1:2:2]:[4:4:2:3]:[4:root:6:3]:[4:4:3:3]];[[4:5:0:3]:[4:5:0:2:2]:[4:root:9:2:2]:[4:root:3:3]:[4:4:0:2:2]:[4:4:0:3]:[4:5:1:3]];4;1;9;2;0;23;4;7;0;0;2;0;6.0;0.0;0.75;10.392857142857142;2.0;4.0;3.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
3;5;4;[2:3:4:5];13;27;11;1;0;72;0;[[5:5:1:2:2]:[5:5:2:3]:[5:5:3:3]:[5:5:1:3]:[5:2:2:2:2]:[5:2:3:3]:[5:root:4:3]:[5:root:3:1:2]];[[5:5:0:2:2]:[5:5:0:3]:[5:2:0:2:2]:[5:2:0:3]:[5:root:6:3]:[5:root:6:1:2]];5;1;9;5;0;24;2;1;0;0;3;0;10.0;27.0;4.809523809523808;6.0;1.0;2.0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
4;2;4;[2:3:4:5];18;22;12;1;0;83;0;[];[];2;10;0;1;0;0;0;181;0;0;2;0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
4;3;4;[2:3:4:5];18;22;12;1;0;83;0;[[3:3:1:3:3]:[3:3:1:4]];[[3:3:0:3:3]:[3:3:0:4]];3;1;9;4;0;27;8;4;0;0;3;0;1.0;15.0;12.716666666666667;1.9166666666666667;3.0;2.0;1.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
4;4;4;[2:3:4:5];18;22;12;1;0;83;0;[[4:root:6:3:3]:[4:root:7:4]:[4:5:1:3:3]:[4:5:2:4]:[4:3:1:1:3]:[4:3:1:4]];[[4:root:3:3:3]:[4:root:3:4]:[4:5:1:3:3]:[4:5:1:4]:[4:3:0:1:3]:[4:3:0:4]];4;5;5;2;0;28;5;5;0;0;2;0;6.0;0.0;1.3055555555555556;10.392857142857142;2.0;4.0;3.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
4;5;4;[2:3:4:5];18;22;12;1;0;83;0;[[5:root:5:4]:[5:root:4:3:3]:[5:2:3:3:3]:[5:2:4:4]];[[5:root:2:4]:[5:root:6:3:3]:[5:2:0:3:3]:[5:2:2:4]];5;2;8;5;0;28;5;2;0;0;4;0;10.0;15.0;4.809523809523808;6.522222222222222;1.0;2.0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null
