min;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;abstract
-1;2;0;10;1;4;3;3;0;5;6;0;0;0;0;0;0;6;6;6;6;"on Faire un status mixte chercheur-enseignant (by Philippe) (id=37): """" +5 by Philippe (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 }"
0;2;0;10;1;4;3;3;0;5;6;0;0;0;0;0;0;6;6;6;6;"on Faire un status mixte chercheur-enseignant (by Philippe) (id=37): """" +5 by Philippe (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 }"
0;7;9;1;2;1;1;1;76;0;2;0;0;3;4;3;0;2;2;1;6;une association controlée (id=29) items: { 12 4 }. parents: { 1 14 } by Pierre (id=7) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 }
0;8;6;4;1;0;2;2;67;0;0;2;0;7;0;0;0;2;6;6;6;"on A la recherche de la mort (by Wj) (id=32): ""En utilisant intelligence artificielle"" +3 by Wj (id=8) scores{ créativité 7.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 }"
0;9;6;4;1;1;6;6;6;0;1;0;0;0;10;2;2;6;1;2;2;A la recherche de la mort (id=28) items: { 26 3 }. parents: { 14 } by JmInDaPlace (id=9) scores{ créativité 0.0 pertinence 2.0 persuasion 0.0 adaptation 2.0 }
0;10;2;8;2;0;4;4;8;2;0;1;0;10;22;0;3;1;1;6;1;"on simplification (by s) (id=35): """" +2 by s (id=10) scores{ créativité 10.0 pertinence 22.0 persuasion 0.0 adaptation 3.0 }"
0;11;6;4;0;1;1;1;77;0;0;0;0;0;0;0;2;6;6;6;3;"on changement de statut (by playerName4) (id=38): """" +4 by playerName4 (id=11) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 2.0 }"
1;2;0;10;1;4;7;6;32;5;8;1;0;6;26;5.16666666666666;0;4;2;1;6;"on manager (by Philippe) (id=51): ""excellent ca. Une vrai GRH"" +5 by Philippe (id=2) scores{ créativité 6.0 pertinence 26.0 persuasion 5.166666666666666 adaptation 0.0 }"
1;7;8;2;3;1;2;2;134;0;3;2;0;3;6;3.5;0;5;4;2;5;Créer un groupe de gardien (id=54) items: { 3 12 6 }. parents: { 17 49 29 } by Pierre (id=7) scores{ créativité 3.0 pertinence 4.0 persuasion 3.0 adaptation 0.0 }
1;8;4;6;1;0;4;3;47;0;0;2;0;7;0;0;-1.16666666666666;3;6;5;6;"on tout en un (by Wj) (id=53): """" +2 by Wj (id=8) scores{ créativité 7.0 pertinence 0.0 persuasion 0.0 adaptation -1.1666666666666665 }"
1;9;4;6;3;1;8;7;46;0;1;0;0;9;14;2;2.66666666666666;2;3;3;2;"on tout en un (by JmInDaPlace) (id=52): ""oui bien sûr tout ce que l'on peut trouver. on le met dedans. "
1;10;0;10;3;1;6;5;18;2;1;1;0;13;28;-0.666666666666666;5;1;1;6;1;entreprises (id=56) items: { 30 55 }. parents: { 1 49 } by s (id=10) scores{ créativité 13.0 pertinence 28.0 persuasion -0.6666666666666666 adaptation 5.0 }
1;11;1;9;0;1;3;3;22;0;0;0;0;0;0;0;2.5;6;6;6;3;"on Faire un status mixte chercheur-enseignant (by playerName4) (id=45): """" +2 by playerName4 (id=11) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 2.5 }"
2;2;1;9;2;4;12;11;0;7;10;1;0;6;14;4.16666666666666;0;4;3;1;5;"on Obliger les chercheurs a faire des stages en entreprise (by Philippe) (id=64): """" +2 by Philippe (id=2) scores{ créativité 6.0 pertinence 14.0 persuasion 4.166666666666666 adaptation 0.0 }"
2;7;5;5;4;2;5;5;47;1;4;2;0;3;5;3.16666666666666;0.333333333333333;5;4;2;4;"on Instaurer un système de tournoi armé pour les financements (by Pierre) (id=72): """" +1 by Pierre (id=7) scores{ créativité 3.0 pertinence 5.0 persuasion 3.1666666666666665 adaptation 0.3333333333333333 }"
2;8;4;6;1;0;5;3;89;0;0;2;0;7;0;0;-1.16666666666666;3;6;5;6;"on Créer un groupe de gardien (by Wj) (id=60): ""Les gardiens doivent être tueurs professionnels"" +0 by Wj (id=8) scores{ créativité 7.0 pertinence 0.0 persuasion 0.0 adaptation -1.1666666666666665 }"
2;9;2;8;4;2;10;9;0;0;2;2;0;11;12;2;5.33333333333333;2;3;3;1;"on Obliger les chercheurs a faire des stages en entreprise (by JmInDaPlace) (id=68): """" +3 by JmInDaPlace (id=9) scores{ créativité 11.0 pertinence 12.0 persuasion 2.0 adaptation 5.333333333333334 }"
2;10;0;10;3;1;6;5;18;2;1;1;0;13;28;-0.666666666666666;5;1;1;6;1;entreprises (id=56) items: { 30 55 }. parents: { 1 49 } by s (id=10) scores{ créativité 13.0 pertinence 28.0 persuasion -0.6666666666666666 adaptation 5.0 }
2;11;1;9;0;1;3;3;22;0;0;0;0;0;0;0;2.5;6;6;6;3;"on Faire un status mixte chercheur-enseignant (by playerName4) (id=45): """" +2 by playerName4 (id=11) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 2.5 }"
3;2;1;9;2;4;14;11;131;7;11;1;0;9;22;7.24999999999999;0;3;2;1;5;"on Instaurer un système de tournoi armé pour les financements (by Philippe) (id=83): ""avec des robots ca marche!"" +0 by Philippe (id=2) scores{ créativité 9.0 pertinence 22.0 persuasion 7.499999999999999 adaptation 0.0 }"
3;7;4;6;4;2;7;6;87;1;4;2;0;3;5;3.16666666666666;0.333333333333333;5;4;2;4;"on non collaboration (by Pierre) (id=80): ""ou au taf"" +1 by Pierre (id=7) scores{ créativité 3.0 pertinence 5.0 persuasion 3.1666666666666665 adaptation 0.3333333333333333 }"
3;8;3;7;1;0;6;4;372;0;0;2;0;7;0;0;-1.16666666666666;4;6;5;6;"on entreprises (by Wj) (id=81): """" +1 by Wj (id=8) scores{ créativité 7.0 pertinence 0.0 persuasion 0.0 adaptation -1.1666666666666665 }"
3;9;2;8;5;2;11;9;37;0;3;3;0;12;12;2;5.33333333333333;2;3;3;1;"on tout en un (by JmInDaPlace) (id=82): ""les deux mon capitaine !"" +0 by JmInDaPlace (id=9) scores{ créativité 11.0 pertinence 12.0 persuasion 2.0 adaptation 5.333333333333334 }"
3;10;0;10;4;1;6;5;284;2;3;4;0;15;28;-0.666666666666666;5;1;1;6;2;collaborer + (id=74) items: { 30 55 }. parents: { 1 49 56 } by s (id=10) scores{ créativité 13.0 pertinence 28.0 persuasion -0.6666666666666666 adaptation 5.0 }
3;11;2;8;0;2;7;6;0;0;2;0;0;0;0;0;3.41666666666666;6;6;5;3;"on monter une association (by playerName4) (id=85): """" +2 by playerName4 (id=11) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 3.4166666666666665 }"
4;2;0;10;2;4;16;12;106;7;11;1;0;9;19;7.24999999999999;0;4;3;1;5;"on Ne pas financer les projets bidons (by Philippe) (id=94): ""tout a fait d'accord. ne marche jamais"" -0 by Philippe (id=2) scores{ créativité 9.0 pertinence 22.0 persuasion 7.249999999999999 adaptation 0.0 }"
4;7;3;7;4;2;9;7;83;1;4;2;0;3;10;4.2;1.33333333333333;5;4;2;4;"on A la recherche de la mort (by Pierre) (id=95): ""C'est une bonne solution. en effet"" +1 by Pierre (id=7) scores{ créativité 3.0 pertinence 10.0 persuasion 4.2 adaptation 1.3333333333333333 }"
4;8;3;7;1;0;6;4;372;0;0;2;0;7;0;0;-1.16666666666666;4;6;5;6;"on entreprises (by Wj) (id=81): """" +1 by Wj (id=8) scores{ créativité 7.0 pertinence 0.0 persuasion 0.0 adaptation -1.1666666666666665 }"
4;9;0;10;5;2;16;12;108;2;3;3;0;13;21;2.91666666666666;4.66666666666666;2;2;3;3;"on collaborer + (by JmInDaPlace) (id=97): ""mais si puisque l'on va augmenter la visibilité de la recherche"" +0 by JmInDaPlace (id=9) scores{ créativité 12.0 pertinence 21.0 persuasion 2.9166666666666665 adaptation 4.666666666666666 }"
4;10;0;10;4;1;6;5;284;2;3;4;0;15;28;-0.666666666666666;5;1;1;6;2;collaborer + (id=74) items: { 30 55 }. parents: { 1 49 56 } by s (id=10) scores{ créativité 13.0 pertinence 28.0 persuasion -0.6666666666666666 adaptation 5.0 }
4;11;1;9;0;2;11;9;23;0;2;0;0;0;7;0;4.66666666666666;6;5;5;2;"on changement de statut (by playerName4) (id=98): """" +-1 by playerName4 (id=11) scores{ créativité 0.0 pertinence 7.0 persuasion 0.0 adaptation 4.666666666666667 }"
5;11;1;9;0;2;11;9;23;0;2;0;0;0;7;0;4.66666666666666;6;5;5;2;"on changement de statut (by playerName4) (id=98): """" +-1 by playerName4 (id=11) scores{ créativité 0.0 pertinence 7.0 persuasion 0.0 adaptation 4.666666666666667 }"
